"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"20190701","강남구","0.013","0.045","0.5","0.005","35","25"
"20190701","강남대로","0.047","0.037","0.5","0.004","49","27"
"20190701","강동구","0.016","0.045","0.5","0.003","37","29"
"20190701","강변북로","0.051","0.029","0.4","0.004","42","31"
"20190701","강북구","0.01","0.049","0.5","0.002","40","26"
"20190701","강서구","0.018","0.053","0.5","0.004","35","26"
"20190701","공항대로","0.033","0.037","0.5","0.006","",""
"20190701","관악구","0.015","0.057","0.4","0.004","40","28"
"20190701","관악산","0.008","0.04","0.5","0.002","33","22"
"20190701","광진구","0.017","0.042","0.7","0.004","38","35"
"20190701","구로구","0.012","0.058","0.4","0.004","31","27"
"20190701","궁동","0.025","0.033","0.4","0.005","30","23"
"20190701","금천구","0.017","0.044","0.5","0.004","32","23"
"20190701","남산","0","0.053","0.8","0.004","39","27"
"20190701","노원구","0.012","0.049","0.5","0.004","34","27"
"20190701","도봉구","0.007","0.06","0.5","0.003","33","21"
"20190701","도산대로","0.017","0.038","0.9","0.004","39","28"
"20190701","동대문구","0.015","0.052","0.5","0.004","31","24"
"20190701","동작구","0.014","0.045","0.5","0.003","40","29"
"20190701","동작대로","0.038","0.039","0.6","0.011","44","28"
"20190701","마포구","0.013","0.053","0.5","0.004","41","30"
"20190701","마포아트센터","0.015","0.057","0.3","0.003","",""
"20190701","북한산","0.005","0.047","0.8","0.003","31","26"
"20190701","서대문구","0.014","0.054","0.7","0.003","37","29"
"20190701","서울숲","0.015","0.047","0.2","0.004","",""
"20190701","서초구","0.021","0.047","0.4","0.004","38","32"
"20190701","성동구","0.026","0.053","0.5","0.003","50","39"
"20190701","성북구","0.024","0.044","0.7","0.003","42","24"
"20190701","세곡","0.019","0.039","0.7","0.002","32","26"
"20190701","송파구","0.019","0.053","0.5","0.003","36","26"
"20190701","시흥대로","0.034","0.05","0.6","0.003","34","22"
"20190701","신촌로","0.05","0.036","0.8","0.003","40","27"
"20190701","양천구","0.018","0.044","0.5","0.004","39","26"
"20190701","영등포구","0.022","0.047","0.4","0.003","41","32"
"20190701","영등포로","0.049","0.035","0.7","0.004","42","28"
"20190701","올림픽공원","","","","","",""
"20190701","용산구","0.024","0.05","0.5","0.003","32","26"
"20190701","은평구","0.015","0.058","0.3","0.004","40","30"
"20190701","자연사박물관","","0.006","0.8","","",""
"20190701","정릉로","0.103","0.027","0.5","0.005","39","28"
"20190701","종로","0.026","0.048","0.5","0.003","30","21"
"20190701","종로구","0.02","0.041","0.6","0.003","31","22"
"20190701","중구","0.02","0.055","0.6","0.003","31","22"
"20190701","중랑구","0.017","0.047","0.5","0.006","31","29"
"20190701","천호대로","0.031","0.052","0.5","0.003","42","25"
"20190701","청계천로","0.029","0.051","0.7","0.004","35","27"
"20190701","한강대로","0.037","0.03","0.7","0.004","40","27"
"20190701","행주","0.016","0.053","0.8","0.004","39","21"
"20190701","홍릉로","0.023","0.04","0.7","0.004","",""
"20190701","화랑로","0.033","0.046","0.3","0.005","43","29"
"20190630","강남구","0.01","0.033","0.3","0.005","31","23"
"20190630","강남대로","0.029","0.028","0.3","0.004","32","26"
"20190630","강동구","0.018","0.027","0.4","0.003","30","25"
"20190630","강변북로","0.033","0.024","0.2","0.004","33","25"
"20190630","강북구","0.011","0.035","0.4","0.002","38","25"
"20190630","강서구","0.012","0.04","0.3","0.004","33","26"
"20190630","공항대로","0.02","0.029","0.4","0.005","",""
"20190630","관악구","0.012","0.043","0.2","0.004","34","25"
"20190630","관악산","0.008","0.031","0.4","0.003","33","25"
"20190630","광진구","0.015","0.029","0.6","0.004","33","30"
"20190630","구로구","0.009","0.044","0.3","0.004","25","24"
"20190630","궁동","0.02","0.025","0.4","0.005","28","23"
"20190630","금천구","0.015","0.029","0.4","0.003","29","22"
"20190630","남산","0.001","0.042","0.6","0.004","37","27"
"20190630","노원구","0.015","0.032","0.4","0.004","32","25"
"20190630","도봉구","0.008","0.042","0.4","0.003","32","21"
"20190630","도산대로","0.013","0.03","0.7","0.004","32","23"
"20190630","동대문구","0.012","0.037","0.3","0.004","29","24"
"20190630","동작구","0.011","0.035","0.3","0.003","35","26"
"20190630","동작대로","0.029","0.029","0.4","0.009","36","23"
"20190630","마포구","0.01","0.039","0.4","0.004","34","27"
"20190630","마포아트센터","0.01","0.045","0.3","0.003","",""
"20190630","북한산","0.005","0.031","0.7","0.003","26","21"
"20190630","서대문구","0.009","0.04","0.6","0.003","31","25"
"20190630","서울숲","0.011","0.034","0.2","0.004","",""
"20190630","서초구","0.011","0.038","0.3","0.004","29","27"
"20190630","성동구","0.015","0.044","0.4","0.003","40","32"
"20190630","성북구","0.017","0.034","0.7","0.003","20","18"
"20190630","세곡","0.019","0.025","0.6","0.003","31","23"
"20190630","송파구","0.015","0.038","0.4","0.003","32","21"
"20190630","시흥대로","0.02","0.04","0.4","0.003","29","20"
"20190630","신촌로","0.036","0.028","0.6","0.003","40","28"
"20190630","양천구","0.012","0.033","0.4","0.004","37","26"
"20190630","영등포구","0.018","0.035","0.4","0.002","37","30"
"20190630","영등포로","0.035","0.027","0.5","0.004","40","29"
"20190630","올림픽공원","","","","","",""
"20190630","용산구","0.016","0.039","0.4","0.003","28","25"
"20190630","은평구","0.014","0.039","0.2","0.004","33","26"
"20190630","자연사박물관","","0.006","0.2","","",""
"20190630","정릉로","0.138","0.024","0.4","0.004","33","26"
"20190630","종로","0.02","0.036","0.4","0.003","28","20"
"20190630","종로구","0.014","0.034","0.4","0.003","31","22"
"20190630","중구","0.018","0.041","0.4","0.003","30","23"
"20190630","중랑구","0.014","0.033","0.4","0.006","30","27"
"20190630","천호대로","0.027","0.031","0.4","0.003","37","22"
"20190630","청계천로","0.019","0.042","0.4","0.004","33","26"
"20190630","한강대로","0.026","0.022","0.6","0.004","43","29"
"20190630","행주","0.01","0.041","0.6","0.003","35","21"
"20190630","홍릉로","0.017","0.03","0.6","0.003","",""
"20190630","화랑로","0.027","0.031","0.3","0.005","34","26"
"20190629","강남구","0.016","0.024","0.3","0.005","22","15"
"20190629","강남대로","0.052","0.018","0.4","0.004","26","16"
"20190629","강동구","0.015","0.027","0.3","0.003","22","16"
"20190629","강변북로","0.038","0.018","0.2","0.004","24","18"
"20190629","강북구","0.013","0.029","0.4","0.002","27","18"
"20190629","강서구","0.022","0.033","0.4","0.004","26","21"
"20190629","공항대로","0.036","0.022","0.4","0.005","",""
"20190629","관악구","0.021","0.034","0.3","0.004","30","23"
"20190629","관악산","0.008","0.023","0.4","0.002","26","20"
"20190629","광진구","0.017","0.025","0.5","0.003","21","21"
"20190629","구로구","0.018","0.035","0.3","0.004","25","22"
"20190629","궁동","0.032","0.019","0.4","0.005","23","19"
"20190629","금천구","0.018","0.026","0.4","0.003","24","18"
"20190629","남산","0.003","0.034","0.6","0.004","27","20"
"20190629","노원구","0.017","0.027","0.4","0.004","24","19"
"20190629","도봉구","0.01","0.032","0.4","0.003","22","16"
"20190629","도산대로","0.018","0.024","0.8","0.004","26","17"
"20190629","동대문구","0.019","0.028","0.3","0.004","19","17"
