"","Date","Individual","Foreigner","Institution"
"1","19.07.16","-2,157","2,512","-315"
"2","19.07.15","-494","143","253"
"3","19.07.12","168","-59","-64"
"4","19.07.11","-1,993","3,649","-1,782"
"5","19.07.10","-13","2,033","-1,882"
"6","19.07.09","826","240","-1,149"
"7","19.07.08","499","18","-498"
"8","19.07.05","-1,050","-250","1,263"
"9","19.07.04","-238","401","-93"
"10","19.07.03","1,562","-860","-675"
"11","19.07.02","240","343","-515"
"12","19.07.01","-191","1,545","61"
"13","19.06.28","-1,995","3,123","-1,097"
"14","19.06.27","-4,058","1,559","2,671"
"15","19.06.26","-736","165","610"
"16","19.06.25","-211","0","88"
"17","19.06.24","-728","-992","1,637"
"18","19.06.21","1,187","133","-1,309"
"19","19.06.20","-1,485","-183","1,645"
"20","19.06.19","-4,605","3,004","1,693"
"21","19.06.18","-1,295","2,618","869"
"22","19.06.17","78","-1,501","1,404"
"23","19.06.14","1,577","-694","-922"
"24","19.06.13","1,317","-1,657","515"
"25","19.06.12","-963","-23","1,016"
"26","19.06.11","-2,665","692","2,035"
"27","19.06.10","-3,384","1,819","1,673"
"28","19.06.07","-401","-333","658"
"29","19.06.05","567","-1,559","985"
"30","19.06.04","32","-2,002","1,935"
"31","19.06.03","-1,933","2,914","-986"
"32","19.05.31","-613","2,062","-1,460"
"33","19.05.30","-720","484","217"
"34","19.05.29","1,932","-3,815","1,927"
"35","19.05.28","1,199","-7,191","6,227"
"36","19.05.27","229","-1,940","1,711"
"37","19.05.24","-13","-3,102","3,069"
"38","19.05.23","150","809","-962"
"39","19.05.22","728","53","-925"
"40","19.05.21","-95","744","-730"
"41","19.05.20","370","-178","96"
"42","19.05.17","1,825","-1,994","42"
"43","19.05.16","4,114","-4,679","367"
"44","19.05.15","1,082","-776","-484"
"45","19.05.14","-603","-2,851","3,368"
"46","19.05.13","2,581","-1,373","-1,314"
"47","19.05.10","2,969","-3,223","13"
"48","19.05.09","8,157","-2,015","-6,465"
"49","19.05.08","493","90","-631"
"50","19.05.07","2,823","2,026","-4,787"
"51","19.05.03","2,417","1,521","-4,075"
"52","19.05.02","-1,025","681","170"
"53","19.04.30","119","429","-573"
"54","19.04.29","-2,833","30","2,785"
"55","19.04.26","1,401","355","-1,844"
"56","19.04.25","629","-165","-446"
"57","19.04.24","4,030","230","-4,214"
"58","19.04.23","180","407","-708"
"59","19.04.22","702","-186","-503"
"60","19.04.19","178","-567","351"
"61","19.04.18","2,959","-1,320","-1,290"
"62","19.04.17","-589","756","14"
"63","19.04.16","-949","1,527","-539"
"64","19.04.15","466","1,781","-2,189"
"65","19.04.12","-1,657","2,446","-558"
"66","19.04.11","-1,512","3,208","-1,606"
"67","19.04.10","-2,280","-33","2,335"
"68","19.04.09","-1,740","2,090","-332"
"69","19.04.08","-1,181","2,731","-1,566"
"70","19.04.05","-1,544","996","616"
"71","19.04.04","-3,797","2,449","1,378"
"72","19.04.03","-4,644","1,431","2,008"
"73","19.04.02","-1,036","2,734","-1,506"
"74","19.04.01","-4,381","2,491","1,846"
"75","19.03.29","-1,560","890","597"
"76","19.03.28","837","-139","-832"
"77","19.03.27","192","-1,561","1,202"
"78","19.03.26","1,557","374","-1,915"
"79","19.03.25","2,692","-709","-2,191"
"80","19.03.22","471","5,013","-5,618"
